index,port,latitude,longitude,size,distance,polygon
23,Port of Zante,37.7811111111111,20.9011111111111,Small,0,"POLYGON ((20.901 37.777, 20.898 37.783, 20.898 37.785, 20.902 37.785, 20.904 37.783, 20.902 37.777, 20.901 37.777))"
24,Port of Poseidonia,37.9508333333333,22.9602777777778,Small,0.005646478198788,"POLYGON ((22.938 37.956, 22.938 37.962, 22.949 37.96, 22.958 37.956, 22.938 37.956))"
25,Pachi Harbor,37.9733333333333,23.3622222222222,Small,0.0159493798014,"POLYGON ((23.385 37.968, 23.378 37.97, 23.378 37.971, 23.383 37.971, 23.385 37.97, 23.386 37.968, 23.385 37.968))"
26,Port of Kos,36.8944444444444,27.2936111111111,Small,0.00076583065583,"POLYGON ((27.302 36.893, 27.287 36.897, 27.288 36.898, 27.291 36.899, 27.303 36.9, 27.303 36.897, 27.302 36.893))"
27,Port of Ierapetra,35.0052777777778,25.7377777777778,Small,0,"POLYGON ((25.736 35.003, 25.738 35.007, 25.741 35.008, 25.747 35.007, 25.742 35.005, 25.736 35.003))"
28,Port of Aliverion,38.3919444444444,24.0483333333333,Small,0.017336627179909,"POLYGON ((24.055 38.373, 24.052 38.374, 24.052 38.375, 24.056 38.374, 24.055 38.373))"
30,Kalamata Marina,37.0238888888889,22.1055555555556,Small,0.004444444444438,"POLYGON ((22.11 37.023, 22.11 37.024, 22.111 37.026, 22.116 37.024, 22.11 37.023))"
31,Port of Rio,38.3111111111111,21.7844444444444,Small,5.51265487050625E-05,"POLYGON ((21.777 38.308, 21.778 38.31, 21.784 38.311, 21.792 38.312, 21.793 38.312, 21.79 38.31, 21.785 38.308, 21.777 38.308))"
32,Syros Harbour,37.4355555555555,24.9422222222222,Small,0,"POLYGON ((24.937 37.432, 24.937 37.437, 24.942 37.442, 24.943 37.443, 24.945 37.443, 24.947 37.433, 24.947 37.432, 24.937 37.432))"
33,Port of Aegina,37.745,23.4269444444444,Small,0,"POLYGON ((23.425 37.735, 23.422 37.737, 23.421 37.745, 23.425 37.747, 23.429 37.746, 23.429 37.745, 23.428 37.742, 23.425 37.735))"
34,Port of Aspropyrgos,38.0375,23.5791666666667,Medium,0.004325218646482,"POLYGON ((23.585 38.012, 23.561 38.015, 23.559 38.016, 23.56 38.018, 23.566 38.028, 23.579 38.033, 23.587 38.035, 23.588 38.035, 23.592 38.034, 23.596 38.029, 23.597 38.022, 23.597 38.021, 23.585 38.012))"
35,Port of Domvrena,38.2219444444444,22.95,Small,0,"POLYGON ((22.948 38.22, 22.95 38.222, 22.951 38.222, 22.95 38.221, 22.948 38.22))"
36,Port of New Ikonion,37.9466666666667,23.6141666666667,Small,0,"POLYGON ((23.598 37.94, 23.543 37.946, 23.526 37.963, 23.526 37.964, 23.531 37.977, 23.532 37.978, 23.539 37.98, 23.6 37.965, 23.603 37.964, 23.617 37.959, 23.619 37.958, 23.615 37.943, 23.613 37.94, 23.598 37.94))"
38,Port of Mykonos,37.4563888888889,25.3230555555556,Small,0,"POLYGON ((25.322 37.437, 25.316 37.44, 25.308 37.448, 25.317 37.468, 25.324 37.466, 25.327 37.465, 25.328 37.464, 25.328 37.451, 25.326 37.44, 25.322 37.437))"
39,Port of Piraeus,37.9411111111111,23.6338888888889,Large,0,"POLYGON ((23.617 37.93, 23.617 37.931, 23.619 37.935, 23.623 37.942, 23.634 37.952, 23.64 37.95, 23.649 37.946, 23.638 37.937, 23.621 37.93, 23.617 37.93))"
40,Port of Samos,37.7544444444444,26.9666666666667,Small,0,"POLYGON ((26.964 37.75, 26.958 37.752, 26.957 37.755, 26.957 37.756, 26.976 37.756, 26.976 37.755, 26.97 37.751, 26.964 37.75))"
44,Port of Kanava,36.7097222222222,24.4661111111111,Small,0.000589255650994,"POLYGON ((24.463 36.708, 24.457 36.709, 24.464 36.711, 24.466 36.709, 24.466 36.708, 24.463 36.708))"
45,Kavala Central Port Authority,40.9313888888889,24.4030555555556,Small,0.003944444444443,"POLYGON ((24.407 40.931, 24.407 40.935, 24.411 40.936, 24.412 40.935, 24.412 40.933, 24.411 40.931, 24.407 40.931))"
